title,year,journal,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
Design and Implementation Data Warehouse in Insurance Company,2019.0,"Journal of Physics:
Conference Series",0.03279974707650147,0.8676176219026177,0.033222605044103085,0.032958695037652544,0.03340133093912517
Good practices for clinical data warehouse implementation: A case study in France,2023.0,PLOS Digital Health,0.9110830165168675,0.022138535227737535,0.02213773833332543,0.02232084020968996,0.02231986971237943
Enterprise Data warehouse and Business Intelligence Solution,2018.0,International Conference on Theory and Practice of Electronic Governance (ICEGOV),0.026541278539039197,0.0266739674571909,0.893330429498763,0.026631258331459733,0.02682306617354722
On construction of a big data warehouse accessing platform for campus power usages,2019.0,Journal of Parallel and Distributed Computing,0.02326434850793238,0.023457117838551422,0.02338793476087044,0.023345440262399198,0.9065451586302467
Building an Effective Data Warehousing for Financial Sector,2017.0,Automatic Control and Information Sciences,0.022095827623724328,0.022677253984253975,0.022418663341268203,0.9103941183288916,0.022414136721861804
DATA WAREHOUSE DESIGN WITH KIMBALL METHOD: CASE STUDY OF FARHRENHEIT MANUFACTURING SYSTEMS,2026.0,ComTech Computer Mathematics and Engineering Applications,0.024249946143805656,0.024478939222309943,0.02439648259469233,0.024269407579549727,0.9026052244596423
The Hannover Medical School enterprise clinical research data warehouse: 5 years of experience,2018.0,International Journal of Medical Informatics (IJMI),0.02526406582693392,0.8983444046771789,0.025341070316476914,0.025542586334852714,0.025507872844557456
Data warehouse capability maturity model assessment for efficient monitoring process: a case study in National Narcotics Board,2022.0,"IOP Conference Series:
Earth and
Environmental Science",0.023128648574487216,0.02340085767506867,0.023212905755475483,0.023257873687599167,0.9069997143073695
Framework for a hospitality big data warehouse: The implementation of an efficient hospitality business intelligence system,2017.0,International Journal of Information Systems in the Service Sector (IJISSS) ,0.023801673619497515,0.023915081950804988,0.023889006642108808,0.02388753170841374,0.9045067060791749
Research on the Application of Data Warehouse in Education Evaluation System,2025.0,International Journal of Cognitive Informatics and Natural Intelligence,0.030370279253314748,0.8782290724505567,0.030456812341506163,0.030362362084514503,0.03058147387010796
Energy finance data warehouse: Tracking revenues through the power sector,2017.0,The Electricity Journal,0.03224420665314455,0.8708798122494835,0.03221321751326404,0.03220220312564647,0.03246056045846123
Implementation of Data Warehouse and Star Schema for Optimizing Property Business Decision Making,2024.0,G-Tech: Jurnal Teknologi Terapan,0.025164362493243216,0.8988161922885362,0.025339585645884573,0.025280076472616535,0.025399783099719592
The Georges Pompidou University Hospital Clinical Data Warehouse: A 8-years follow-up experience,2017.0,International Journal of Medical Informatics,0.02371301593239377,0.023777841912843167,0.02376190979326919,0.9048228165935392,0.023924415767954493
